timestamp,source,millicores
2026-01-30T14:16:45Z,kubectl_top,689
2026-01-30T14:16:45.833036,app,325
2026-01-30T14:16:51Z,kubectl_top,689
2026-01-30T14:16:51.832879,app,225
2026-01-30T14:16:57Z,kubectl_top,689
2026-01-30T14:16:57.832823,app,245
2026-01-30T14:17:04Z,kubectl_top,689
2026-01-30T14:17:05.832406,app,135
2026-01-30T14:17:10Z,kubectl_top,689
2026-01-30T14:17:11.832499,app,225
2026-01-30T14:17:17Z,kubectl_top,279
2026-01-30T14:17:17.833101,app,180
2026-01-30T14:17:23Z,kubectl_top,279
2026-01-30T14:17:23.832753,app,280
2026-01-30T14:17:30Z,kubectl_top,279
2026-01-30T14:17:29.833045,app,340
2026-01-30T14:17:36Z,kubectl_top,273
2026-01-30T14:17:37.832880,app,490
2026-01-30T14:17:43Z,kubectl_top,273
2026-01-30T14:17:43.833352,app,625
2026-01-30T14:17:49Z,kubectl_top,273
2026-01-30T14:17:49.941921,app,561
2026-01-30T14:17:56Z,kubectl_top,273
2026-01-30T14:17:56.041151,app,705
2026-01-30T14:18:02Z,kubectl_top,273
2026-01-30T14:18:02.127335,app,800
2026-01-30T14:18:08Z,kubectl_top,624
2026-01-30T14:18:08.140730,app,793
2026-01-30T14:18:15Z,kubectl_top,624
2026-01-30T14:18:16.127311,app,798
2026-01-30T14:18:21Z,kubectl_top,624
2026-01-30T14:18:22.127361,app,780
2026-01-30T14:18:27Z,kubectl_top,624
2026-01-30T14:18:28.027375,app,734
2026-01-30T14:18:33Z,kubectl_top,624
2026-01-30T14:18:33.927345,app,626
2026-01-30T14:18:40Z,kubectl_top,744
2026-01-30T14:18:39.833383,app,433
2026-01-30T14:18:46Z,kubectl_top,744
2026-01-30T14:18:45.833018,app,385
2026-01-30T14:18:52Z,kubectl_top,744
2026-01-30T14:18:53.832786,app,310
2026-01-30T14:18:58Z,kubectl_top,744
2026-01-30T14:18:59.832414,app,235
2026-01-30T14:19:05Z,kubectl_top,374
2026-01-30T14:19:05.833241,app,200
2026-01-30T14:19:11Z,kubectl_top,374
2026-01-30T14:19:11.832553,app,210
2026-01-30T14:19:17Z,kubectl_top,374
2026-01-30T14:19:17.833253,app,195
2026-01-30T14:19:24Z,kubectl_top,374
2026-01-30T14:19:23.832459,app,240
2026-01-30T14:19:30Z,kubectl_top,374
2026-01-30T14:19:29.832855,app,305
2026-01-30T14:19:36Z,kubectl_top,230
2026-01-30T14:19:37.832941,app,365
2026-01-30T14:19:42Z,kubectl_top,230
2026-01-30T14:19:43.938898,app,457
2026-01-30T14:19:49Z,kubectl_top,230
2026-01-30T14:19:50.127284,app,524
2026-01-30T14:19:55Z,kubectl_top,230
2026-01-30T14:19:56.227243,app,693
2026-01-30T14:20:01Z,kubectl_top,230
2026-01-30T14:20:02.327488,app,745
2026-01-30T14:20:07Z,kubectl_top,562
2026-01-30T14:20:08.348038,app,758
2026-01-30T14:20:14Z,kubectl_top,562
2026-01-30T14:20:12.427265,app,802
